Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
5,S92000003,P,4,2,4,4,2,1,2,1,1,1,3,11,3,2
8,S92000003,P,2,2,1,1,1,1,2,1,1,X,X,X,X,X
9,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
12,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
20,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
21,S92000003,P,5,2,2,1,1,2,2,1,2,6,X,X,X,2
26,S92000003,P,1,2,5,2,2,1,1,1,1,1,6,11,2,4
27,S92000003,P,1,2,4,2,2,1,2,2,2,1,6,11,4,2
31,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
32,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
33,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
36,S92000003,P,1,2,5,1,2,1,1,1,2,1,2,10,3,3
43,S92000003,P,2,1,5,1,2,1,1,1,1,1,2,10,3,1
45,S92000003,P,1,2,1,1,2,1,1,4,2,X,X,X,X,X
48,S92000003,P,0,1,2,1,1,2,1,1,1,6,X,X,X,2
56,S92000003,P,1,2,6,2,2,1,2,1,2,5,6,11,X,4
58,S92000003,P,4,1,1,1,1,1,2,1,2,X,X,X,X,X
59,S92000003,P,0,2,5,2,2,2,1,4,2,1,4,11,3,2
64,S92000003,P,2,2,2,1,2,1,2,1,2,1,4,10,3,2
67,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
68,S92000003,P,1,2,1,1,1,2,1,1,1,X,X,X,X,X
72,S92000003,P,1,2,6,2,2,1,2,1,2,7,6,11,X,2
74,S92000003,P,0,2,6,4,2,2,2,6,1,1,2,11,3,1
75,S92000003,P,1,2,5,2,2,1,1,1,1,1,2,11,3,2
76,S92000003,P,1,2,7,2,2,1,1,1,2,5,6,11,X,4
